"Name","Tags","Created","DATASET.SIGMA","auc","MRE","radial_ere_correlation","ece","best_threshold","mre_confidence weighted"
"ultra_hip_unetplus_sigma_7","test, validation","2023-01-14T23:49:23.000Z","7","0.7390253725332259","6.911848068237305","0.7294928491955104","1.336727767534878","11.848106384277344",""
"ultra_hip_unetplus_sigma_6","test, validation","2023-01-14T23:49:23.000Z","6","0.7493623305141629","6.782516002655029","0.7357914895220007","1.744521366857478","10.849905967712402",""
"ultra_hip_unetplus_sigma_5","test, validation","2023-01-14T23:48:30.000Z","5","0.7386186186186185","6.80571174621582","0.6365816703385895","1.1072173758166963","10.386445045471191",""
"ultra_hip_unetplus_sigma_4","test, validation","2023-01-14T23:48:30.000Z","4","0.7793393393393393","6.6471405029296875","0.6335568298652612","1.7645583211687272","8.913414001464844",""
"ultra_hip_unetplus_sigma_3","test, validation","2023-01-14T23:48:30.000Z","3","0.7429078014184397","6.512714862823486","0.7067032814596131","2.7054311862498843","8.099303245544434",""
"ultra_hip_unetplus_sigma_2","test, validation","2023-01-14T23:48:11.000Z","2","0.7679550438596492","6.347163200378418","0.6756247071470993","2.1574631995400004","7.775353908538818",""
"ultra_hip_unetplus_sigma_1","test, validation","2023-01-14T23:48:11.000Z","1","0.7518366464995678","6.995029449462891","0.7420819840283238","2.8127986081349454","7.857626914978027",""
"ultra_hip_unetplus_sigma_0","test, validation","2023-01-14T23:48:11.000Z","0","0.7195311784635107","8.22928524017334","0.5922270287703071","2.977841516207579","6.624061107635498",""
"ap_pelvis_unetplus_sigma_7","test, validation","2023-01-14T23:21:17.000Z","7","0.8052941812675752","2.4146363735198975","0.7859703617246656","4.519564920026044","7.815339088439941",""
"ap_pelvis_unetplus_sigma_6","test, validation","2023-01-14T23:21:17.000Z","6","0.7331492076017623","2.216576337814331","0.623458000369505","5.636364380188752","6.560189247131348",""
"ap_pelvis_unetplus_sigma_5","test, validation","2023-01-14T23:19:58.000Z","5","0.7818230852211435","2.2463698387145996","0.7201757739984886","5.060807578878926","5.4216437339782715",""
"ap_pelvis_unetplus_sigma_4","test, validation","2023-01-14T23:19:57.000Z","4","0.790951535477083","2.244908332824707","0.6233710253724909","5.010204494932882","4.76456880569458",""
"ap_pelvis_unetplus_sigma_3","test, validation","2023-01-14T23:19:57.000Z","3","0.8447608616283315","2.1808366775512695","0.7456600514827221","4.31762239937338","4.350788116455078",""
"ap_pelvis_unetplus_sigma_2","test, validation","2023-01-14T23:19:34.000Z","2","0.8094660194174758","2.141709089279175","0.805349603809425","5.761155536103097","3.4193689823150635",""
"ap_pelvis_unetplus_sigma_1","test, validation","2023-01-14T23:19:34.000Z","1","0.8543003851091142","2.2867770195007324","0.7752705261955612","3.6504686560614834","2.833334445953369",""
"ap_pelvis_unetplus_sigma_0","test, validation","2023-01-14T23:19:34.000Z","0","0.8177024030682567","2.230554580688477","0.737336596445001","3.551328700268641","2.500950813293457",""